Ticker,Strategy,Total Return [%],Max Drawdown [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio
NVDA,Trend,195.48315365706443,21.446482035695446,1.1529085411093067,2.138849201769422,1.4961655307475912
NVDA,High_Vol,31.127585279323483,15.236589716633725,0.6660319320983327,1.2134646364257742,0.7015449905128581
NVDA,Low_Vol,235.1460069986522,23.394554407995855,1.7240315801201378,2.8934259403443736,2.4508244396995376
NVDA,Benchmark,1351.229990997432,36.88102669914986,2.303934876565256,3.781329842584038,6.678892715511666
AMD,Trend,2.6269735931021385,40.50455976481769,0.13681037125813447,0.2050006333386153,0.016498891890146944
AMD,High_Vol,69.37543386611506,24.038461752213173,0.8613180537521621,1.5303458196205157,0.9081971208739757
AMD,Low_Vol,70.43293532568401,48.93059145433446,0.7085468230366276,1.178831998745422,0.4519904405024763
AMD,Benchmark,190.2205390227433,63.00028513679348,1.0356630222089829,1.6264064893642798,0.9263154968240263
AVGO,Trend,36.05104210452381,27.74578360397331,0.4830639239146094,0.86763746761425,0.296578417389639
AVGO,High_Vol,22.868307763478295,19.424499398520336,0.5384136782873815,0.9723709129095022,0.4130448638182881
AVGO,Low_Vol,28.746342727463688,23.960815029555086,0.6078091046920268,1.0821141753224865,0.4144920699195504
AVGO,Benchmark,614.6796149122499,41.14967331017135,1.8137327653624102,3.010221970345516,3.202087904045294
QCOM,Trend,-25.98981732019487,27.566661967779527,-0.6006157215094954,-0.7272407799213836,-0.26987046653764246
QCOM,High_Vol,29.199891353395994,25.185467069135512,0.55243921336429,0.8148764133149258,0.4000932078514978
QCOM,Low_Vol,2.0115352081189304,40.27809436616688,0.1474030279884521,0.2068029419161857,0.0185986940577616
QCOM,Benchmark,39.88246630286234,44.23405768911896,0.5431220233574963,0.7790842831793651,0.34870966718556967
INTC,Trend,-4.848807012416874,12.878778244534134,-0.07931615299278083,-0.10298726053468048,-0.09850037283200809
INTC,High_Vol,9.875557139313878,39.22615496330003,0.2642153137828989,0.44039448784344126,0.09157880781715708
INTC,Low_Vol,9.053282265454055,38.60563905844256,0.25781970102150326,0.3789450825279078,0.08550774706424359
INTC,Benchmark,-5.651354894335109,63.80454607731132,0.26302282721242465,0.3885387737579494,-0.03848744435642436
ARM,Trend,-25.04209275525751,32.010716354622794,-0.4810646104659355,-0.606352908612667,-0.38272798237500494
ARM,High_Vol,15.638169760586207,20.639911060477388,0.4640381667976743,0.7213642626729909,0.4923136328660365
ARM,Low_Vol,1.5416053120355173,28.990235497778404,0.21207118287530083,0.3034546240604983,0.03532824360053189
ARM,Benchmark,1.4088702762870342,53.9740445110465,0.40932196376508473,0.5917106231712992,0.022827754281845927
MSFT,Trend,31.281333306884335,10.794328392701876,0.7564446512647527,1.252141653974783,0.6708363662984634
MSFT,High_Vol,24.538196122538285,15.223863406360397,0.5929917466443128,0.9779567576897819,0.5630003956965631
MSFT,Low_Vol,4.8138544377358805,16.501647695758244,0.19657355258567796,0.28647566301481303,0.10771636935911169
MSFT,Benchmark,100.35077613662354,26.839276926021366,1.1143721334960481,1.693332571585719,1.2832586052402923
GOOGL,Trend,32.151071580954614,15.155792039558468,0.5163117011528878,0.8166635094567535,0.4897977939406211
GOOGL,High_Vol,16.11729469164178,13.355488767297105,0.5524602253639483,0.900307249778568,0.4312512895252128
GOOGL,Low_Vol,18.923581317424944,20.88815822062652,0.5016794231130327,0.759642253866955,0.3212470274539257
GOOGL,Benchmark,193.58019152720263,29.805869849409937,1.5070203436214524,2.2540811023928535,2.163186171113084
META,Trend,45.175568455886065,26.518090350409867,0.5659600414485781,1.0225759688903078,0.3789306424998933
META,High_Vol,-31.669120348719872,41.53829412901971,-0.41393071532568887,-0.5279478604498922,-0.3201637366890592
META,Low_Vol,30.32609352096826,30.887138321238172,0.5172970263967528,0.8439562952439843,0.33784705000158055
META,Benchmark,257.5566733844724,51.46039035495043,1.3204772061324155,2.0443852392460324,1.417379348684013
AAPL,Trend,21.293297113513525,14.652443004703288,0.5081961949202735,0.784546448653011,0.3469371797815795
AAPL,High_Vol,1.541692542539895,13.898179185387201,0.11000741690331463,0.17039047823309778,0.04137070337023762
AAPL,Low_Vol,39.900056997920494,21.573012866489144,0.9195257349138765,1.4395208105169108,0.6215244107508702
AAPL,Benchmark,92.22271623666572,33.360522795120865,1.0027093456527563,1.5187722447602638,0.9645278707590077
AMZN,Trend,4.444688575819255,16.62425792194203,0.14961733330421956,0.2177006720976484,0.06756912581836089
AMZN,High_Vol,-2.9136137982182664,28.862827653175742,0.01863810931824334,0.029359021210093043,-0.03817931087469193
AMZN,Low_Vol,5.757603100803772,28.69515160542258,0.2045654201860918,0.2993539294895619,0.073878466335162
AMZN,Benchmark,91.09565928326533,43.48666916377662,0.8664026648802934,1.305881838244263,0.7323106659222742
TSLA,Trend,29.745451299867764,21.287331684697037,0.4089184897800138,0.8461540918592881,0.3249609168046342
TSLA,High_Vol,15.019145155881796,32.97034354788712,0.3197304107025969,0.5143637373320573,0.16328740442672396
TSLA,Low_Vol,75.62692161246034,54.05937498804983,0.7143225941483875,1.1197597234782386,0.4346647096519218
TSLA,Benchmark,106.08628982498945,53.765680118585216,0.8448656937207133,1.285613131012938,0.7907607444147219
ORCL,Trend,48.59022210134259,24.079896946369946,0.5728348602258894,1.104047117885561,0.4446718985502529
ORCL,High_Vol,17.503864363205977,15.490709101015801,0.4963399812715938,0.6637914373316288,0.4022459378356032
ORCL,Low_Vol,101.27156994012216,13.955270937639636,1.4043527106754425,2.335899564490037,2.1475181950898246
